State,Date,Year,Month Name,Diesel Price
Abia,01/06/2015,2015,June,139.8
Abia,01/07/2015,2015,July,139.6875
Abia,01/08/2015,2015,August,139.375
Abia,01/09/2015,2015,September,142.0833333
Abia,01/10/2015,2015,October,141.3333333
Abia,01/11/2015,2015,November,153.3333333
Abia,01/12/2015,2015,December,153.4375
Abia,01/01/2016,2016,January,152.5862069
Abia,01/02/2016,2016,February,146.7647059
Abia,01/03/2016,2016,March,141.25
Abia,01/04/2016,2016,April,144.4117647
Abia,01/05/2016,2016,May,141.875
Abia,01/06/2016,2016,June,179.4736842
Abia,01/07/2016,2016,July,201.25
Abia,01/08/2016,2016,August,190.3571429
Abia,01/09/2016,2016,September,195.2307692
Abia,01/10/2016,2016,October,190.3571429
Abia,01/11/2016,2016,November,192.7857143
Abia,01/12/2016,2016,December,202.1428571
Abia,01/01/2017,2017,January,237.5
Abia,01/02/2017,2017,February,248.0769231
Abia,01/03/2017,2017,March,225
Abia,01/04/2017,2017,April,241.25
Abia,01/05/2017,2017,May,216.1538462
Abia,01/06/2017,2017,June,202.6923077
Abia,01/07/2017,2017,July,185.3571429
Abia,01/08/2017,2017,August,175.8333333
Abia,01/09/2017,2017,September,184.4444444
Abia,01/10/2017,2017,October,200.8333333
Abia,01/11/2017,2017,November,191.11
Abia,01/12/2017,2017,December,193
Abia,01/01/2018,2018,January,190.5555556
Abia,01/02/2018,2018,February,190
Abia,01/03/2018,2018,March,185.8333333
Abia,01/04/2018,2018,April,193.8888889
Abia,01/05/2018,2018,May,202.2222222
Abia,01/06/2018,2018,June,203.3333333
Abia,01/07/2018,2018,July,202.8571429
Abia,01/08/2018,2018,August,212.0833333
Abia,01/09/2018,2018,September,215.5
Abia,01/10/2018,2018,October,207.6923077
Abia,01/11/2018,2018,November,213.3333333
Abia,01/12/2018,2018,December,229.5625
Abia,01/01/2019,2019,January,236.9444444
Abia,01/02/2019,2019,February,236.4166667
Abia,01/03/2019,2019,March,238.5714286
Abia,01/04/2019,2019,April,240.1
Abia,01/05/2019,2019,May,235
Abia,01/06/2019,2019,June,235.5555556
Abia,01/07/2019,2019,July,229.6153846
Abia,01/08/2019,2019,August,228.46
Abia,01/09/2019,2019,September,228.75
Abia,01/10/2019,2019,October,243.3333333
Abia,01/11/2019,2019,November,230
Abia,01/12/2019,2019,December,239.2307692
Abia,01/01/2020,2020,January,231.0714286
Abia,01/02/2020,2020,February,222.5
Abia,01/03/2020,2020,March,228.8888889
Abia,01/04/2020,2020,April,224.5833333
Abia,01/05/2020,2020,May,219.6428571
Abia,01/06/2020,2020,June,220
Abia,01/07/2020,2020,July,212.3076923
Abia,01/08/2020,2020,August,214.5833333
Abia,01/09/2020,2020,September,240.7142857
Abia,01/10/2020,2020,October,229.5833333
Abia,01/11/2020,2020,November,248.75
Abia,01/12/2020,2020,December,230
Abia,01/01/2021,2021,January,220
Abia,01/02/2021,2021,February,214.2857143
Abia,01/03/2021,2021,March,233.3333333
Abia,01/04/2021,2021,April,236
Abia,01/05/2021,2021,May,225
Abia,01/06/2021,2021,June,238.4615385
Abia,01/07/2021,2021,July,274.25
Abia,01/08/2021,2021,August,295.5833333
Abia,01/09/2021,2021,September,262.8571429
Abia,01/10/2021,2021,October,268
Abia,01/11/2021,2021,November,274.2857143
Abia,01/12/2021,2021,December,258.3333333
Abia,01/01/2022,2022,January,300.8333333
Abia,01/02/2022,2022,February,310.5
Abia,01/03/2022,2022,March,645
Abia,01/04/2022,2022,April,637.5
Abia,01/05/2022,2022,May,634.6153846
Abia,01/06/2022,2022,June,703.3333333
Abia,01/07/2022,2022,July,782.3076923
Abia,01/08/2022,2022,August,785.3333333
Abia,01/09/2022,2022,September,784.5833333
Abia,01/10/2022,2022,October,800
Abia,01/11/2022,2022,November,807
Abia,01/12/2022,2022,December,809.5
Abia,01/12/2023,2023,December,1080
Abia,01/01/2023,2023,January,1171.09
Abia,01/02/2023,2023,February,1320.94
Abia,01/03/2023,2023,March,1456.36
Abia,01/04/2023,2023,April,1473.51
Abuja,01/06/2015,2015,June,148
Abuja,01/07/2015,2015,July,137.5
Abuja,01/08/2015,2015,August,152
Abuja,01/09/2015,2015,September,157
Abuja,01/10/2015,2015,October,157.1428571
Abuja,01/11/2015,2015,November,157.5
Abuja,01/12/2015,2015,December,153.75
Abuja,01/01/2016,2016,January,158
Abuja,01/02/2016,2016,February,145
Abuja,01/03/2016,2016,March,160
Abuja,01/04/2016,2016,April,155
Abuja,01/05/2016,2016,May,142.2222222
Abuja,01/06/2016,2016,June,178.75
Abuja,01/07/2016,2016,July,204
Abuja,01/08/2016,2016,August,194
Abuja,01/09/2016,2016,September,189.5
Abuja,01/10/2016,2016,October,180
Abuja,01/11/2016,2016,November,182.5
Abuja,01/12/2016,2016,December,180
Abuja,01/01/2017,2017,January,198
Abuja,01/02/2017,2017,February,252
Abuja,01/03/2017,2017,March,255
Abuja,01/04/2017,2017,April,248
Abuja,01/05/2017,2017,May,208
Abuja,01/06/2017,2017,June,221.25
Abuja,01/07/2017,2017,July,185.12
Abuja,01/08/2017,2017,August,184.23
Abuja,01/09/2017,2017,September,183
Abuja,01/10/2017,2017,October,201.6666667
Abuja,01/11/2017,2017,November,193
Abuja,01/12/2017,2017,December,210.4166667
Abuja,01/01/2018,2018,January,207.5
Abuja,01/02/2018,2018,February,205.2
Abuja,01/03/2018,2018,March,201.25
Abuja,01/04/2018,2018,April,207.75
Abuja,01/05/2018,2018,May,183
Abuja,01/06/2018,2018,June,185.03
Abuja,01/07/2018,2018,July,184
Abuja,01/08/2018,2018,August,195
Abuja,01/09/2018,2018,September,205
Abuja,01/10/2018,2018,October,220
Abuja,01/11/2018,2018,November,208
Abuja,01/12/2018,2018,December,224
Abuja,01/01/2019,2019,January,232
Abuja,01/02/2019,2019,February,231.25
Abuja,01/03/2019,2019,March,229
Abuja,01/04/2019,2019,April,231.05
Abuja,01/05/2019,2019,May,230
Abuja,01/06/2019,2019,June,239
Abuja,01/07/2019,2019,July,228.75
Abuja,01/08/2019,2019,August,218.75
Abuja,01/09/2019,2019,September,218.75
Abuja,01/10/2019,2019,October,225
Abuja,01/11/2019,2019,November,223
Abuja,01/12/2019,2019,December,231.25
Abuja,01/01/2020,2020,January,231
Abuja,01/02/2020,2020,February,231.25
Abuja,01/03/2020,2020,March,217
Abuja,01/04/2020,2020,April,217
Abuja,01/05/2020,2020,May,225.7947152
Abuja,01/06/2020,2020,June,229
Abuja,01/07/2020,2020,July,235
Abuja,01/08/2020,2020,August,227
Abuja,01/09/2020,2020,September,234
Abuja,01/10/2020,2020,October,232
Abuja,01/11/2020,2020,November,237
Abuja,01/12/2020,2020,December,225
Abuja,01/01/2021,2021,January,242
Abuja,01/02/2021,2021,February,246
Abuja,01/03/2021,2021,March,239
Abuja,01/04/2021,2021,April,238.3333333
Abuja,01/05/2021,2021,May,255
Abuja,01/06/2021,2021,June,246
Abuja,01/07/2021,2021,July,251
Abuja,01/08/2021,2021,August,250
Abuja,01/09/2021,2021,September,280
Abuja,01/10/2021,2021,October,267
Abuja,01/11/2021,2021,November,301
Abuja,01/12/2021,2021,December,277.5
Abuja,01/01/2022,2022,January,286.25
Abuja,01/02/2022,2022,February,305.5
Abuja,01/03/2022,2022,March,525
Abuja,01/04/2022,2022,April,706
Abuja,01/05/2022,2022,May,705
Abuja,01/06/2022,2022,June,745
Abuja,01/07/2022,2022,July,800
Abuja,01/08/2022,2022,August,845
Abuja,01/09/2022,2022,September,816
Abuja,01/10/2022,2022,October,818
Abuja,01/11/2022,2022,November,820
Abuja,01/12/2022,2022,December,821.6666667
Abuja,01/12/2023,2023,December,1090
Abuja,01/01/2023,2023,January,1226.7
Abuja,01/02/2023,2023,February,1275
Abuja,01/03/2023,2023,March,1338
Abuja,01/04/2023,2023,April,1360
Adamawa,01/06/2015,2015,June,145
Adamawa,01/07/2015,2015,July,148.6542854
Adamawa,01/08/2015,2015,August,150
Adamawa,01/09/2015,2015,September,160.4541663
Adamawa,01/10/2015,2015,October,135
Adamawa,01/11/2015,2015,November,145
