State,Date,Year,Month Name,Petrol Price
Abia,01/01/2016,2016,January,129.3
Abia,01/02/2016,2016,February,112.2
Abia,01/03/2016,2016,March,148.1
Abia,01/04/2016,2016,April,191.7
Abia,01/05/2016,2016,May,149.3
Abia,01/06/2016,2016,June,147.9
Abia,01/07/2016,2016,July,152.3
Abia,01/08/2016,2016,August,147.2
Abia,01/09/2016,2016,September,147.1
Abia,01/10/2016,2016,October,148.3
Abia,01/11/2016,2016,November,146.8
Abia,01/12/2016,2016,December,147.1
Abia,01/01/2017,2017,January,148.6
Abia,01/02/2017,2017,February,147.5384615
Abia,01/03/2017,2017,March,150.4285714
Abia,01/04/2017,2017,April,148.5
Abia,01/05/2017,2017,May,151.9375
Abia,01/06/2017,2017,June,149.6875
Abia,01/07/2017,2017,July,147
Abia,01/08/2017,2017,August,144.6666667
Abia,01/09/2017,2017,September,144.5
Abia,01/10/2017,2017,October,147.8571429
Abia,01/11/2017,2017,November,147.5
Abia,01/12/2017,2017,December,220.4
Abia,01/01/2018,2018,January,227.5
Abia,01/02/2018,2018,February,191.125
Abia,01/03/2018,2018,March,164.5
Abia,01/04/2018,2018,April,147.55
Abia,01/05/2018,2018,May,145.45
Abia,01/06/2018,2018,June,146.3333333
Abia,01/07/2018,2018,July,146.5
Abia,01/08/2018,2018,August,147
Abia,01/09/2018,2018,September,146.3
Abia,01/10/2018,2018,October,147.6666667
Abia,01/11/2018,2018,November,150.6666667
Abia,01/12/2018,2018,December,144.7222222
Abia,01/01/2019,2019,January,144.6521739
Abia,01/02/2019,2019,February,145.9285714
Abia,01/03/2019,2019,March,146.12
Abia,01/05/2019,2019,May,145.6428571
Abia,01/06/2019,2019,June,145.6666667
Abia,01/07/2019,2019,July,145.2352941
Abia,01/08/2019,2019,August,146.71
Abia,01/09/2019,2019,September,146.7333333
Abia,01/10/2019,2019,October,147.0909091
Abia,01/11/2019,2019,November,150.6875
Abia,01/12/2019,2019,December,147.3333333
Abia,01/01/2020,2020,January,146.13
Abia,01/02/2020,2020,February,146.8666667
Abia,01/03/2020,2020,March,145.9090909
Abia,01/04/2020,2020,April,128.125
Abia,01/05/2020,2020,May,126.3333333
Abia,01/06/2020,2020,June,124.6
Abia,01/07/2020,2020,July,144.9285714
Abia,01/08/2020,2020,August,152
Abia,01/09/2020,2020,September,163.3076923
Abia,01/10/2020,2020,October,162
Abia,01/11/2020,2020,November,178.7
Abia,01/12/2020,2020,December,176.1875
Abia,01/01/2021,2021,January,173.75
Abia,01/02/2021,2021,February,180
Abia,01/03/2021,2021,March,183.1428571
Abia,01/04/2021,2021,April,175.9166667
Abia,01/05/2021,2021,May,171.8461538
Abia,01/06/2021,2021,June,171.875
Abia,01/07/2021,2021,July,167.0434783
Abia,01/08/2021,2021,August,173.1428571
Abia,01/09/2021,2021,September,172.5
Abia,01/10/2021,2021,October,170.25
Abia,01/11/2021,2021,November,178.1666667
Abia,01/12/2021,2021,December,166.3333333
Abia,01/01/2022,2022,January,177.3333333
Abia,01/02/2022,2022,February,178.2307692
Abia,01/03/2022,2022,March,210.3076923
Abia,01/04/2022,2022,April,195.27
Abia,01/05/2022,2022,May,193.2
Abia,01/06/2022,2022,June,179.6666667
Abia,01/07/2022,2022,July,185.7333333
Abia,01/08/2022,2022,August,185
Abia,01/09/2022,2022,September,187.33
Abia,01/10/2022,2022,October,186.5625
